Senator1,Senator2,weight
14871,40704,611
14871,40707,106
14871,40902,110
14871,40906,593
14871,40908,607
14871,40909,602
14871,40910,614
14871,40915,394
14871,40916,595
14871,41101,621
14871,41102,109
14871,41104,94
14871,41107,135
14871,41110,86
14871,41111,100
14871,41112,612
14871,41300,600
14871,41301,620
14871,41302,129
14871,41304,97
14871,41305,607
14871,41308,603
14871,41500,117
14871,41502,134
14871,41504,235
14871,41505,242
14871,41700,619
14871,41702,615
14871,41703,163
14871,41706,610
14871,41707,138
14871,41900,87
14871,41901,80
14871,41902,213
14871,41903,75
14871,41905,594
14871,42100,98
14871,42101,607
14871,42102,75
14871,42103,609
14871,42104,597
14871,42105,601
14871,42300,101
14871,42301,487
14871,42302,134
14871,42303,70
14871,42304,97
14871,42305,363
14871,42306,66
14871,49300,120
14871,49308,621
14871,49703,432
14871,90915,66
14871,91300,533
14921,15015,204
14921,15021,186
14921,15408,194
14921,20101,542
14921,20146,541
14921,20330,185
14921,20351,477
14921,20707,190
14921,20713,190
14921,20735,206
14921,20750,178
14921,20919,498
14921,20923,211
14921,20930,199
14921,20932,195
14921,20953,493
14921,21133,574
14921,21166,521
14921,21173,380
14921,21301,510
14921,21325,201
14921,21338,485
14921,21350,482
14921,21355,504
14921,21708,506
14921,21734,446
14921,21743,213
14921,29142,205
14921,29147,153
14921,29345,500
14921,29373,167
14921,29389,206
14921,29534,566
14921,29566,431
14921,29722,526
14921,29732,197
14921,29754,548
14921,29940,198
14921,39310,194
14921,40300,392
14921,40305,545
14921,40700,208
14921,40702,215
14921,40703,206
14921,40704,200
14921,40707,475
14921,40902,488
14921,40906,199
14921,40908,177
14921,40909,197
14921,40910,203
14921,40915,240
14921,40916,203
14921,41101,203
14921,41102,454
14921,41104,434
14921,41107,512
14921,41110,437
14921,41111,483
14921,41112,199
14921,41300,208
14921,41301,176
14921,41302,546
14921,41304,472
14921,41305,195
14921,41308,190
14921,41500,490
14921,41502,509
14921,41504,484
14921,41505,526
14921,41700,199
14921,41702,207
14921,41703,507
14921,41706,196
14921,41707,537
14921,41900,406
14921,41901,421
14921,41902,482
14921,41903,436
14921,41905,193
14921,42100,449
14921,42101,209
14921,42102,439
14921,42103,209
14921,42104,198
14921,42105,189
14921,42300,491
14921,42301,212
14921,42302,522
14921,42303,461
14921,42304,386
14921,42305,125
14921,42306,7
14921,49300,70
14921,49308,198
14921,49703,395
14921,90915,26
14921,91300,221
15015,15021,587
15015,15408,627
15015,20101,158
15015,20146,209
15015,20330,615
15015,20351,88
15015,20707,629
15015,20713,628
15015,20735,637
15015,20750,615
15015,20919,192
15015,20923,638
15015,20930,633
15015,20932,631
15015,20953,118
15015,21133,235
15015,21166,150
15015,21173,62
15015,21301,133
15015,21325,643
15015,21338,118
15015,21350,159
15015,21355,143
15015,21708,132
15015,21734,96
15015,21743,629
15015,29142,645
15015,29147,523
15015,29345,137
15015,29373,479
15015,29389,618
15015,29534,183
15015,29566,329
15015,29722,190
15015,29732,627
15015,29754,160
15015,29940,625
15015,39310,632
15015,40300,411
15015,40305,188
15015,40700,632
15015,40702,587
15015,40703,625
15015,40704,633
15015,40707,110
15015,40902,125
15015,40906,616
15015,40908,597
15015,40909,624
15015,40910,637
15015,40915,405
15015,40916,610
15015,41101,642
15015,41102,123
15015,41104,79
15015,41107,137
15015,41110,72
15015,41111,98
15015,41112,631
15015,41300,621
15015,41301,608
15015,41302,145
15015,41304,97
15015,41305,628
15015,41308,603
15015,41500,123
15015,41502,150
15015,41504,245
15015,41505,250
